GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,
DIRECCION DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,32769059,
2016,,,,,,,,,,,,,,,,,,,,,431098377,
,,519,,,,,,,,,,,,,,,,,,,473667273,
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,m3/año,m3/s
ALBERT Y BERLIN,77,485377,2141715,19,09,014,Benito Ju?írez,09014,13392,107741,141955,160704,187488,204768,155347,160704,155520,163382,158112,160704,1769817,0.05612 
ALGARIN,78,485104,2145574,21,09,015,Cuauht??moc,09015,88387,77674,85709,82944,85709,82944,83030,72317,57024,26784,38880,34819,816221,0.02588 
ALTAVISTA,79,479176,2139108,22,09,010,?ülvaro Obreg??n,09010,74995,70157,69638,72576,77674,75168,72317,74995,75168,69638,62208,42854,837388,0.02655 
AMADO NERVO ,80,483792,2147228,24,09,015,Cuauht??moc,09015,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
ANTONIO M. ANZA,81,483287,2146238,36,09,015,Cuauht??moc,09015,136598,112752,123206,119232,131242,127008,133920,66960,31104,FS,FS,FS,982022,0.03114 
ARENAL SAN ANGEL,82,480917,2139244,38,09,003,Coyoac?ín,09003,115171,105235,112493,119232,155347,152928,160704,155347,152928,160704,152928,155347,1698364,0.05385 
ARNAIZ ROSENDO ,83,480411,2143138,39,09,014,Benito Ju?írez,09014,53568,72662,66960,64800,64282,46656,FE,FE,15552,FE,FS,FS,384480,0.01219 
AV. D. CASTILLO,84,492091,2156078,78,09,005,Gustavo A. Madero,09005,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
AXOTLA,85,481716,2140255,80,09,010,?ülvaro Obreg??n,09010,29462,35078,29462,25920,26784,18144,16070,8035,5184,FS,FS,FS,194139,0.00616 
BENJAMIN FRANKLIN,86,480957,2145692,87,09,016,Miguel Hidalgo,09016,21427,35078,37498,38880,40176,38880,40176,40176,38880,40176,38880,37498,447725,0.01420 
CAMPESTRE,87,483850,2140451,92,09,014,Benito Ju?írez,09014,147312,140314,144634,142560,147312,142560,144634,117850,129600,141955,119232,133920,1651883,0.05238 
CAMPOS ELISEOS ,88,478852,2148058,94,09,016,Miguel Hidalgo,09016,45533,40090,40176,38880,42854,41472,42854,40176,38880,40176,FE,40176,451267,0.01431 
CASA AMARILLA,89,480065,2145785,98,09,016,Miguel Hidalgo,09016,99101,95213,133920,119232,133920,119232,48211,58925,88128,93744,46656,72317,1108599,0.03515 
CEDROS Y MOLIERE,90,478706,2148642,104,09,016,Miguel Hidalgo,09016,96422,87696,96422,82944,109814,103680,107136,109814,106272,109814,106272,99101,1215387,0.03854 
CHAPULTEPEC MORALES,91,480327,2148642,113,09,016,Miguel Hidalgo,09016,83030,82685,77674,82944,83030,80352,85709,29462,18144,FS,FS,FS,623030,0.01976 
CICERON,92,478413,2148337,119,09,016,Miguel Hidalgo,09016,74995,70157,74995,72576,72317,69984,72317,69638,20736,FS,FS,FS,597715,0.01895 
DIAGONAL SAN ANTONIO,93,484551,2144735,139,09,014,Benito Ju?írez,09014,80352,75168,48211,44064,42854,36288,37498,32141,10368,FS,FS,FS,406944,0.01290 
DIRECTO #22,94,477696,2134789,144,09,012,Tlalpan,09012,83030,122774,128563,31104,93744,59616,FS,FS,FS,FS,101088,128563,748482,0.02373 
HUERTAS DEL CARMEN,95,480757,2138752,175,09,003,Coyoac?ín,09003,139277,137808,136598,139968,139277,127008,133920,128563,127008,133920,124416,101779,1569542,0.04977 
IRRIGACION,96,478175,2149700,177,09,016,Miguel Hidalgo,09016,93744,85190,56246,49248,48211,38880,50890,53568,51840,53568,51840,53568,686793,0.02178 
JARDIN DE SAN JACINTO,97,479963,2138791,193,09,010,?ülvaro Obreg??n,09010,53568,67651,42854,82944,80352,82944,56246,37498,46656,29462,36288,37498,653961,0.02074 
JARDINES DEL PEDREGAL #1 ,98,478216,2137221,197,09,010,?ülvaro Obreg??n,09010,10714,FS,50890,77760,83030,75168,69638,21427,18144,21427,FS,FS,428198,0.01358 
JARDINES DEL PEDREGAL #2 ,99,479233,2137630,198,09,010,?ülvaro Obreg??n,09010,8035,PA,8035,PA,PA,PA,PA,PA,PA,PA,PA,18749,34819,0.00110 
JARDINES DEL PEDREGAL #3 ,100,479590,2136089,199,09,003,Coyoac?ín,09003,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0,0.00000 
JARDINES DEL PEDREGAL #4-B,101,477965,2135930,200,09,010,?ülvaro Obreg??n,09010,83030,75168,83030,77760,69638,88128,128563,125885,67392,93744,98496,120528,1111362,0.03524 
JARDINES DEL PEDREGAL #5-A,102,477046,2135344,202,09,010,?ülvaro Obreg??n,09010,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0,0.00000 
JARDINES DEL PEDREGAL #5-B,103,477155,2135188,203,09,010,?ülvaro Obreg??n,09010,96422,102730,112493,108864,104458,103680,112493,96422,95904,93744,95904,101779,1224893,0.03884 
JARDIN MORELOS ,104,481303,2145227,194,09,016,Miguel Hidalgo,09016,125885,127786,117850,98496,147312,137376,144634,147312,139968,144634,116640,109814,1557707,0.04939 
JARDIN POMBO,105,480823,2144109,195,09,014,Benito Ju?írez,09014,123206,117763,99101,103680,131242,106272,120528,104458,108864,163382,111456,88387,1378339,0.04371 
LA CAMPANA,106,480797,2141915,204,09,014,Benito Ju?írez,09014,149990,140314,152669,147744,141955,145152,147312,147312,145152,147312,142560,149990,1757462,0.05573 
HORMIGA,107,479959,2146530,174,09,016,Miguel Hidalgo,09016,48211,50112,66960,77760,69638,103680,123206,123206,121824,107136,69984,64282,1025999,0.03253 
LA HUERTA,108,483034,2142593,206,09,014,Benito Ju?írez,09014,152669,137808,149990,147744,152669,51840,85709,40176,36288,FS,FS,FS,954893,0.03028 
LAGO GINEBRA,109,479224,2150276,209,09,016,Miguel Hidalgo,09016,RH,50112,66960,64800,66960,64800,66960,64282,67392,58925,62208,64282,697681,0.02212 
LEGARIA,110,478689,2150496,210,09,016,Miguel Hidalgo,09016,99101,92707,80352,82944,93744,90720,83030,85709,95904,99101,90720,96422,1090454,0.03458 
MAR MEDITERRANEO,111,481776,2150834,216,09,016,Miguel Hidalgo,09016,72317,60134,69638,62208,64282,62208,66960,69638,54432,FS,FS,FS,581817,0.01845 
MARINA NACIONAL #1,112,481481,2149520,217,09,016,Miguel Hidalgo,09016,104458,105235,99101,49248,45533,51840,24106,FE,FE,FE,41472,58925,579918,0.01839 
MARINA NACIONAL #3,113,480760,2150404,218,09,016,Miguel Hidalgo,09016,FS,70157,96422,93312,101779,106272,107136,96422,103680,99101,101088,107136,1082505,0.03433 
MARINA NACIONAL #4,114,480221,2151033,219,09,016,Miguel Hidalgo,09016,80352,90202,91066,88128,91066,82944,91066,88387,85536,77674,108864,88387,1063672,0.03373 
MARTIRES DE TACUBAYA ,115,480664,2144482,220,09,014,Benito Ju?írez,09014,42854,40090,29462,7776,18749,57024,58925,56246,57024,56246,54432,58925,537753,0.01705 
MIGUEL ALEMAN,116,485070,2143994,224,09,014,Benito Ju?írez,09014,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0,0.00000 
MIRAFLORES,117,480622,2143758,228,09,014,Benito Ju?írez,09014,208915,195437,8035,7776,FE,FE,FS,48211,FS,FS,FS,FS,468374,0.01485 
MIRAVALLE,118,485274,2140695,229,09,014,Benito Ju?írez,09014,37498,32573,34819,54432,83030,114048,120528,83030,106272,112493,114048,112493,1005264,0.03188 
MODERNA,119,485903,2144382,230,09,014,Benito Ju?írez,09014,37498,57629,64282,62208,64282,59616,58925,45533,15552,FS,FS,FS,465525,0.01476 
MOLINO DEL REY ,120,479642,2147289,231,09,016,Miguel Hidalgo,09016,21427,27562,21427,25920,26784,33696,29462,21427,33696,42854,44064,42854,371173,0.01177 
NATIVITAS,121,485550,2142726,236,09,014,Benito Ju?írez,09014,RE,RE,34819,57024,8035,FE,FE,FE,FE,FE,FE,FE,99878,0.00317 
NATIVITAS ,122,485550,2142726,236,09,014,Benito Ju?írez,09014,160704,150336,152669,129600,152669,145152,158026,18749,36288,152669,186624,182131,1625617,0.05155 
NORMANDIA,123,485856,2141928,247,09,007,Iztapalapa,09007,107136,107741,158026,129600,155347,FS,88387,21427,36288,48211,67392,88387,1007942,0.03196 
NUEVO MIGUEL ALEMAN,124,485108,2143877,249,09,014,Benito Ju?írez,09014,104458,92707,99101,57024,88387,85536,88387,83030,85536,88387,12960,FS,885513,0.02808 
ORTIZ RUBIO ,125,485111,2142220,253,09,014,Benito Ju?írez,09014,125885,117763,123206,124416,50890,FE,FE,FE,FE,26784,80352,128563,777859,0.02467 
P. MARISCAL SUCRE,126,483060,2143897,254,09,014,Benito Ju?írez,09014,152669,157853,176774,168480,149990,158112,155347,93744,38880,FS,FS,FS,1251849,0.03970 
PARQUE DE LOS VENADOS,127,483779,2141901,270,09,014,Benito Ju?írez,09014,174096,162864,171418,160704,147312,160704,168739,171418,158112,168739,2592,FS,1646698,0.05222 
PARROQUIA #1,128,483206,2141726,271,09,014,Benito Ju?írez,09014,74995,77674,83030,82944,85709,90720,88387,91066,90720,91066,90720,91066,1038097,0.03292 
PARROQUIA #2,129,483206,2141726,272,09,014,Benito Ju?írez,09014,PA,PA,2678,PA,PA,PA,PA,PA,PA,PA,PA,2678,5356,0.00017 
PERIODISTA,130,477073,2150067,312,09,016,Miguel Hidalgo,09016,88387,52618,66960,80352,80352,80352,83030,29462,15552,FS,FS,FS,577065,0.01830 
PIRULERA ,131,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,93744,87696,74995,82944,88387,88128,91066,80352,18144,FS,FS,FS,705456,0.02237 
PORTALES ,132,484686,2140946,317,09,014,Benito Ju?írez,09014,115171,107741,104458,23328,34819,23328,8035,FS,10368,FS,FS,FS,427248,0.01355 
RADIO MIL,133,484258,2143551,353,09,014,Benito Ju?írez,09014,64282,75168,69638,72576,115171,85536,80352,69638,80352,74995,69984,77674,935366,0.02966 
RIO SAN JOAQUIN,134,477902,2150276,363,09,016,Miguel Hidalgo,09016,136598,127786,56246,54432,61603,59616,61603,48211,15552,FS,FS,FS,621647,0.01971 
SALESIANO,135,481404,2150143,379,09,016,Miguel Hidalgo,09016,158026,145325,152669,155520,160704,155520,141955,91066,77760,144634,155520,160704,1699403,0.05389 
