TULYEHUALCO #2,356,499862,2127969,505,09,011,Tl?íhuac,09011,61603,55642,63590,58925,43546,60826,61603,63590,55642,48211,55296,72576,701050
TULYEHUALCO #4,357,499774,2128224,506,09,011,Tl?íhuac,09011,115171,104026,FS,FS,38707,102298,112493,116122,101606,112493,116122,96768,1015805
TULYEHUALCO #5,358,499404,2128348,507,09,011,Tl?íhuac,09011,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
TULYEHUALCO #6,359,499184,2128488,508,09,011,Tl?íhuac,09011,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0
TULYEHUALCO #7,360,498855,2128500,509,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
TULYEHUALCO #8,361,498541,2128735,510,09,013,Xochimilco,09013,125885,113702,129946,109814,FS,FS,FS,FS,FS,FS,FS,FS,479347
TULYEHUALCO #9,362,498153,2128420,511,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
TULYEHUALCO #10,363,498224,2129148,504,09,013,Xochimilco,09013,DC,DC,DC,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
AUXILIAR XOTEPINGO #8-A,364,499453,2127639,71,09,011,Tl?íhuac,09011,50890,45965,41472,37498,31450,27648,37498,38707,33869,37498,38707,33869,455069
AUXILIAR XOTEPINGO #1-B,365,485577,2137590,51,09,003,Coyoac?ín,09003,83030,74995,85709,83030,48384,FE,FE,66355,74995,83030,85709,74995,760234
AUXILIAR XOTEPINGO #1-C,366,485987,2137418,52,09,003,Coyoac?ín,09003,RH,RH,RH,16070,38707,44237,42854,44237,38707,42854,44237,38707,350611
AUXILIAR XOTEPINGO #2-A,367,485605,2137177,53,09,003,Coyoac?ín,09003,72317,65318,74650,72317,65318,74650,72317,16589,RH,RH,RH,RH,513475
AUXILIAR XOTEPINGO #2-B,368,485917,2137244,54,09,003,Coyoac?ín,09003,74995,67738,77414,74995,67738,77414,74995,77414,67738,74995,77414,67738,880589
AUXILIAR XOTEPINGO #2-C,369,486157,2137340,55,09,003,Coyoac?ín,09003,42854,38707,44237,42854,38707,44237,42854,44237,38707,42854,44237,38707,503194
AUXILIAR XOTEPINGO #3-A,370,483454,2134623,56,09,003,Coyoac?ín,09003,RE,RE,RE,RE,55642,102298,74995,105062,77414,88387,82944,77414,664157
AUXILIAR XOTEPINGO #3-B,371,486020,2137158,57,09,003,Coyoac?ín,09003,FS,FS,FS,RE,RE,RE,RE,RE,RE,RE,RE,FS,0
AUXILIAR XOTEPINGO #3-C,372,486332,2137150,58,09,003,Coyoac?ín,09003,42854,38707,44237,42854,38707,44237,42854,44237,38707,42854,44237,38707,503194
AUXILIAR XOTEPINGO #4-A,373,485612,2137181,59,09,003,Coyoac?ín,09003,107136,96768,110592,107136,96768,110592,107136,110592,96768,107136,110592,96768,1257984
AUXILIAR XOTEPINGO #4-B,374,486172,2136994,60,09,003,Coyoac?ín,09003,56246,50803,58061,56246,50803,58061,56246,58061,50803,56246,58061,50803,660442
AUXILIAR XOTEPINGO #5-C,375,486633,2136909,64,09,003,Coyoac?ín,09003,64282,58061,66355,64282,58061,66355,64282,66355,58061,64282,66355,58061,754790
AUXILIAR XOTEPINGO #7-A,376,486470,2136519,68,09,003,Coyoac?ín,09003,109814,99187,113357,109814,60480,FE,FE,FE,29030,13392,FE,FE,535075
AUXILIAR XOTEPINGO #7-B,377,486598,2136644,69,09,003,Coyoac?ín,09003,72317,65318,74650,72317,65318,74650,72317,74650,65318,72317,74650,65318,849139
AUXILIAR XOTEPINGO #8-B,378,486733,2136560,72,09,003,Coyoac?ín,09003,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0
AUXILIAR XOTEPINGO #9-B,379,486837,2136442,75,09,003,Coyoac?ín,09003,RE,RE,RE,18749,43546,49766,48211,49766,43546,48211,49766,43546,395107
AUXILIAR XOTEPINGO #10-C,380,487154,2136372,47,09,003,Coyoac?ín,09003,64282,58061,66355,64282,58061,66355,64282,66355,58061,64282,66355,58061,754790
AUXILIAR XOTEPINGO #11-A,381,487154,2136372,48,09,003,Coyoac?ín,09003,72317,65318,74650,72317,65318,74650,72317,74650,65318,72317,74650,65318,849139
AUXILIAR XOTEPINGO #11-B,382,487554,2136262,49,09,003,Coyoac?ín,09003,56246,50803,58061,56246,50803,58061,56246,58061,50803,56246,58061,50803,660442
GRANJAS AGRICOLA COAPA,383,487793,2133865,167,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,FS,0
PERIFERICO #18 ,384,489804,2135343,302,09,013,Xochimilco,09013,83030,74995,85709,83030,74995,80179,77674,80179,70157,77674,77414,67738,932774
PENA POBRE #2,385,480997,2133774,281,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,FS,0
ALFONSO XIII,386,479525,2142124,20,09,010,?ülvaro Obreg??n,09010,RN,RN,RN,RN,RN,RN,RN,RN,RN,RH,RH,RH,0
AV. CENTRAL ,387,479826,2143897,77,09,010,?ülvaro Obreg??n,09010,88387,82253,91238,85709,74995,82944,91066,85709,77414,96422,88474,79834,1024445
BARRANCA DEL MUERTO,388,477767,2140498,84,09,010,?ülvaro Obreg??n,09010,72317,62899,77414,10714,FE,FE,FE,FE,FE,FE,66355,67738,357437
CASTANEDA #5,389,479819,2141143,99,09,010,?ülvaro Obreg??n,09010,RH,RH,RH,FS,FS,FS,FS,FS,FS,FS,FS,FS,0
CASTANEDA #6,390,478681,2141444,100,09,010,?ülvaro Obreg??n,09010,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
CHAPULTEPEC #2,391,476210,2145719,110,09,016,Miguel Hidalgo,09016,RN,RE,RN,RE,RE,RE,RE,RE,RE,RN,RN,RN,0
CHAPULTEPEC #7,392,476811,2147687,112,09,016,Miguel Hidalgo,09016,42854,48384,49766,45533,38707,19354,24106,2765,36288,10714,24883,36288,379642
CHAPULTEPEC #4 ,393,476066,2147376,111,09,016,Miguel Hidalgo,09016,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
CRISTO REY,394,479080,2143917,131,09,010,?ülvaro Obreg??n,09010,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0
GOTA DE ORO ,395,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
MERCED GOMEZ #1,396,479054,2141245,221,09,010,?ülvaro Obreg??n,09010,RN,RN,RN,RN,RN,RN,RN,RN,RN,RH,RH,RH,0
MERCED GOMEZ #2,397,479362,2140943,222,09,010,?ülvaro Obreg??n,09010,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
OLIVAR DE LOS PADRES ,398,477978,2138211,251,09,010,?ülvaro Obreg??n,09010,18749,29030,24883,29462,33869,19354,16070,44237,19354,RN,33178,19354,287539
OLIVAR DEL CONDE,399,478259,2141807,252,09,010,?ülvaro Obreg??n,09010,96422,82253,77414,85709,72576,105062,58925,38707,9677,RN,74650,91930,793325
PALO ALTO,400,473308,2143565,261,09,004,Cuajimalpa de Morelos,09004,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
POZO CASSO,401,479631,2143506,319,09,010,?ülvaro Obreg??n,09010,PA,FS,FS,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
RIO HONDO,402,477108,2150026,362,09,016,Miguel Hidalgo,09016,RH,RH,RH,RH,RH,RH,RH,RH,RH,RE,RE,RE,0
SAN.ANGEL INN,403,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
STA FE #1,404,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,48211,38707,47002,42854,36288,38707,26784,35942,26611,29462,38707,21773,431050
SANTA LUCIA #1 ,405,483663,2151362,445,09,015,Cuauht??moc,09015,83030,74995,77414,80352,72576,82944,50890,35942,2419,RN,58061,70157,688781
SANTA LUCIA MIXCOAC,406,477689,2141301,446,09,010,?ülvaro Obreg??n,09010,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,0
TACUBAYA #1,407,479760,2144819,460,09,010,?ülvaro Obreg??n,09010,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0
TACUBAYA #2,408,478505,2144514,461,09,010,?ülvaro Obreg??n,09010,74995,72576,80179,74995,70157,74650,32141,8294,RN,RN,19354,60480,567821
TACUBAYA #3,409,477626,2144350,462,09,010,?ülvaro Obreg??n,09010,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,0
TETELPAN ,410,475535,2138416,496,09,010,?ülvaro Obreg??n,09010,40176,33869,44237,40176,38707,33178,42854,41472,36288,45533,44237,41126,481853
TOTOLAPAN,411,470953,2140338,502,09,004,Cuajimalpa de Morelos,09004,24106,16934,24883,29462,26611,27648,61603,71885,55642,72317,63590,62899,537581
VISTA HERMOSA,412,472181,2142453,567,09,004,Cuajimalpa de Morelos,09004,66960,26611,49766,45533,45965,52531,42854,55296,43546,50890,49766,41126,570845
