DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE,UrbanClay,Urban
REPDA-EDO,476440.3301,2152490.428,-0.00010274,2005,2014,4780,253,361,7665,10950,-8.876712329,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,476527.9929,2152643.993,-0.004794521,2005,2014,4781,253,361,7665,10950,-414.2465753,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,514536.4792,2162931.14,-0.003170979,2005,2014,4782,253,361,7665,10950,-273.9726027,15,69,Papalotla,15069,0,Rural
REPDA-EDO,516865.2391,2165299.855,-1.48E-02,2005,2014,4783,253,361,7665,10950,-1282.191781,15,93,Tepetlaoxtoc,15093,0,Rural
REPDA-EDO,515698.792,2166558.972,-0.001109843,2005,2014,4784,253,361,7665,10950,-95.89041096,15,93,Tepetlaoxtoc,15093,0,Rural
REPDA-EDO,514886.2041,2162839.22,-0.000711885,2005,2014,4785,253,361,7665,10950,-61.50684932,15,69,Papalotla,15069,0,Rural
REPDA-EDO,505947.6992,2142610.016,-0.011466261,2005,2014,4786,253,361,7665,10950,-990.6849315,15,70,La Paz,15070,0,1993
REPDA-EDO,504300.1508,2140249.084,-0.014459665,2005,2014,4787,253,361,7665,10950,-1249.315068,15,70,La Paz,15070,0,1993
REPDA-EDO,504259.3102,2140236.78,-0.013018106,2005,2014,4788,253,361,7665,10950,-1124.764384,15,70,La Paz,15070,0,1993
REPDA-EDO,504431.4349,2140242.969,-0.009512938,2005,2014,4789,253,361,7665,10950,-821.9178082,15,70,La Paz,15070,0,1993
REPDA-EDO,504430.9813,2142087.08,-0.007919362,2005,2014,4790,253,361,7665,10950,-684.2328767,15,70,La Paz,15070,0,1993
REPDA-EDO,504958.8836,2142422.232,-8.25E-05,2005,2014,4791,253,361,7665,10950,-7.126027397,15,70,La Paz,15070,0,1993
REPDA-EDO,504343.8835,2140365.888,-0.000332953,2005,2014,4792,253,361,7665,10950,-28.76712329,15,70,La Paz,15070,0,1993
REPDA-EDO,504198.1151,2139935.561,-0.004289701,2005,2014,4793,253,361,7665,10950,-370.630137,15,70,La Paz,15070,0,1993
REPDA-EDO,504606.3214,2140857.716,-0.000380518,2005,2014,4794,253,361,7665,10950,-32.87671233,15,70,La Paz,15070,0,1993
REPDA-EDO,502068.283,2140795.774,-3.61E-05,2005,2014,4805,253,361,7665,10950,-3.120547945,15,70,La Paz,15070,0,1993
REPDA-EDO,502826.9368,2139812.353,-0.005073567,2005,2014,4806,253,361,7665,10950,-438.3561644,15,70,La Paz,15070,0,1993
REPDA-EDO,504519.0568,2139843.433,-0.006341958,2005,2014,4807,253,361,7665,10950,-547.9452055,15,70,La Paz,15070,0,2003
REPDA-EDO,507697.9988,2142395.531,-0.000274575,2005,2014,4808,253,361,7665,10950,-23.72328767,15,70,La Paz,15070,0,2015
REPDA-EDO,504868.6537,2141687.636,-9.51E-05,2005,2014,4809,253,361,7665,10950,-8.219178082,15,70,La Paz,15070,0,1993
REPDA-EDO,504198.0578,2140181.442,-0.020547945,2005,2014,4810,253,361,7665,10950,-1775.342466,15,70,La Paz,15070,0,1993
REPDA-EDO,504168.8767,2140212.171,-3.24E-03,2005,2014,4811,253,361,7665,10950,-280.0246575,15,70,La Paz,15070,0,1993
REPDA-EDO,503410.4757,2139566.573,-0.000120719,2005,2014,4812,253,361,7665,10950,-10.43013699,15,70,La Paz,15070,0,1993
REPDA-EDO,514554.648,2140432.691,-0.002046043,2005,2014,4813,253,361,7665,10950,-176.7780822,15,39,Ixtapaluca,15039,0,Rural
REPDA-EDO,504344.0983,2139474.568,-0.001902588,2005,2014,4814,253,361,7665,10950,-164.3835616,15,70,La Paz,15070,0,1993
REPDA-EDO,511086.1946,2135174.526,-0.000957255,2005,2014,4815,253,361,7665,10950,-82.70684932,15,39,Ixtapaluca,15039,0,2015
REPDA-EDO,505364.7264,2141165.278,-0.016438356,2005,2014,4816,253,361,7665,10950,-1420.273973,15,70,La Paz,15070,0,1993
REPDA-EDO,517927.3828,2122394.252,-0.000237823,2005,2014,4817,253,361,7665,10950,-20.54794521,15,103,Tlalmanalco,15103,0,Rural
REPDA-EDO,503753.5792,2172822.627,-0.008013699,2005,2014,4818,253,361,7665,10950,-692.3835616,15,2,Acolman,15002,0,Rural
REPDA-EDO,501923.7743,2128163.678,-0.0225,2005,2014,4819,253,361,7665,10950,-1944,9,11,Tl?íhuac,9011,0,Rural
REPDA-EDO,508852.4911,2167384.142,-0.000158549,2005,2014,4820,253,361,7665,10950,-13.69863014,15,100,Tezoyuca,15100,0,Rural
REPDA-EDO,507881.3453,2123216.994,-0.015780822,2005,2014,4821,253,361,7665,10950,-1363.463014,15,25,Chalco,15025,0,Rural
REPDA-EDO,512083.389,2123234.659,-0.15,2005,2014,4822,253,361,7665,10950,-12960,15,83,Temamatla,15083,0,Rural
REPDA-EDO,511180.5921,2124017.819,-0.012683917,2005,2014,4824,253,361,7665,10950,-1095.890411,15,25,Chalco,15025,0,Rural
REPDA-EDO,514422.612,2122975.111,-0.000584126,2005,2014,4825,253,361,7665,10950,-50.46849315,15,83,Temamatla,15083,0,Rural
REPDA-EDO,513808.1694,2124572.843,-6.34E-04,2005,2014,4826,253,361,7665,10950,-54.79452055,15,22,Cocotitl?ín,15022,0,Rural
REPDA-EDO,513781.5199,2121192.005,-0.02595456,2005,2014,4828,253,361,7665,10950,-2242.473973,15,83,Temamatla,15083,0,Rural
REPDA-EDO,513533.7913,2120503.363,-0.010464231,2005,2014,4830,253,361,7665,10950,-904.109589,15,89,Tenango del Aire,15089,0,Rural
REPDA-EDO,486042.8796,2128506.965,-0.001626712,2005,2014,4831,253,361,7665,10950,-140.5479452,9,13,Xochimilco,9013,0,2000
REPDA-EDO,482508.9338,2126819.581,-1.56E-02,2005,2014,4832,253,361,7665,10950,-1347.945205,9,12,Tlalpan,9012,0,2015
REPDA-EDO,484144.0695,2127033.237,-0.000190259,2005,2014,4833,253,361,7665,10950,-16.43835616,9,12,Tlalpan,9012,1,1929
