DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,Flow_m3,CVE_ENT,CVE_MUN,NOM_MUN,CODE
SACM,486705,2123955,1,1984,1985,500,-1,0,0,31,-1051,9,13,Xochimilco,9013
SACM,483222,2133095,1,1984,1985,501,-1,0,0,31,-1296,9,12,Tlalpan,9012
SACM,480443,2134197,1,1984,1985,564,-1,0,0,31,-1382,9,12,Tlalpan,9012
SACM,479950,2133465,1,1984,1985,565,-1,0,0,31,-816,9,12,Tlalpan,9012
SACM,479688,2133363,1,1984,1985,88,-1,0,0,31,-1283,9,12,Tlalpan,9012
SACM,479648,2133076,1,1984,1985,89,-1,0,0,31,-1304,9,12,Tlalpan,9012
SACM,478437,2134424,1,1984,1985,95,-1,0,0,31,-480,9,12,Tlalpan,9012
SACM,476178,2134095,1,1984,1985,161,-1,0,0,31,-1919,9,12,Tlalpan,9012
SACM,483120,2131330,1,1984,1985,178,-1,0,0,31,-2913,9,12,Tlalpan,9012
SACM,476778,2134389,1,1984,1985,255,-1,0,0,31,-3659,9,12,Tlalpan,9012
SACM,476720,2134847,1,1984,1985,256,-1,0,0,31,-1872,9,12,Tlalpan,9012
SACM,477814,2133790,1,1984,1985,259,-1,0,0,31,-1973,9,12,Tlalpan,9012
SACM,482211,2130826,1,1984,1985,275,-1,0,0,31,-2268,9,12,Tlalpan,9012
SACM,479896,2133084,1,1984,1985,280,-1,0,0,31,-173,9,12,Tlalpan,9012
SACM,485550,2142726,1,1984,1985,236,-1,0,0,31,-3882,9,14,Benito Ju?írez,9014
SACM,486562,2130782,1,1984,1985,240,-1,0,0,31,-670,9,13,Xochimilco,9013
SACM,487133,2129237,1,1984,1985,241,-1,0,0,31,-4270,9,13,Xochimilco,9013
SACM,487635,2129008,1,1984,1985,242,-1,0,0,31,-883,9,13,Xochimilco,9013
SACM,487975,2128974,1,1984,1985,243,-1,0,0,31,-10661,9,13,Xochimilco,9013
SACM,487231,2128266,1,1984,1985,244,-1,0,0,31,-3270,9,13,Xochimilco,9013
SACM,488178,2127972,1,1984,1985,245,-1,0,0,31,-6785,9,13,Xochimilco,9013
SACM,489421,2127836,1,1984,1985,246,-1,0,0,31,-8465,9,13,Xochimilco,9013
SACM,487085,2126212,1,1984,1985,354,-1,0,0,31,-6055,9,13,Xochimilco,9013
SACM,486650,2126527,1,1984,1985,355,-1,0,0,31,-523,9,13,Xochimilco,9013
