DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE,UrbanClay
REDPDA-EDO,512827.7,2148423,-0.05753,2005,2014,4514,253,361,7665,10950,-4970.959,15,29,Chicoloapan,15029,0
REDPDA-EDO,512146.3,2147039,-0.01903,2005,2014,4515,253,361,7665,10950,-1643.836,15,29,Chicoloapan,15029,0
REDPDA-EDO,511662.9,2145963,-0.04203,2005,2014,4516,253,361,7665,10950,-3631.274,15,29,Chicoloapan,15029,0
REDPDA-EDO,511633.6,2146086,-0.02269,2005,2014,4517,253,361,7665,10950,-1960.488,15,29,Chicoloapan,15029,0
REDPDA-EDO,511546.3,2145871,-0.00424,2005,2014,4518,253,361,7665,10950,-365.997,15,29,Chicoloapan,15029,0
REDPDA-EDO,510758.7,2146147,-0.00382,2005,2014,4519,253,361,7665,10950,-330.156,15,29,Chicoloapan,15029,0
REDPDA-EDO,511547.0,2144795,-0.01579,2005,2014,4520,253,361,7665,10950,-1364.384,15,29,Chicoloapan,15029,0
REDPDA-EDO,508454.3,2146883,-0.00011,2005,2014,4521,253,361,7665,10950,-9.315,15,29,Chicoloapan,15029,1
REDPDA-EDO,508512.7,2146760,-0.00025,2005,2014,4522,253,361,7665,10950,-21.918,15,29,Chicoloapan,15029,1
REDPDA-EDO,509883.6,2146392,-0.00153,2005,2014,4523,253,361,7665,10950,-132.329,15,29,Chicoloapan,15029,0
REDPDA-EDO,510175.4,2146085,-0.00020,2005,2014,4524,253,361,7665,10950,-16.849,15,29,Chicoloapan,15029,0
REDPDA-EDO,508133.3,2147467,-0.00002,2005,2014,4525,253,361,7665,10950,-1.449,15,29,Chicoloapan,15029,0
REDPDA-EDO,510028.7,2147652,-0.00005,2005,2014,4526,253,361,7665,10950,-3.896,15,29,Chicoloapan,15029,0
REDPDA-EDO,510583.5,2146454,-0.00024,2005,2014,4527,253,361,7665,10950,-20.452,15,29,Chicoloapan,15029,1
REDPDA-EDO,507579.2,2147344,-0.00013,2005,2014,4528,253,361,7665,10950,-11.397,15,31,Chimalhuac?ín,15031,0
REDPDA-EDO,513676.3,2144551,-0.01522,2005,2014,4529,253,361,7665,10950,-1315.068,15,29,Chicoloapan,15029,0
REDPDA-EDO,509883.3,2146853,-0.00001,2005,2014,4530,253,361,7665,10950,-0.951,15,29,Chicoloapan,15029,1
REDPDA-EDO,508512.7,2146883,-0.00005,2005,2014,4531,253,361,7665,10950,-4.164,15,29,Chicoloapan,15029,1
REDPDA-EDO,507755.1,2145315,-0.00005,2005,2014,4532,253,361,7665,10950,-4.521,15,29,Chicoloapan,15029,1
REDPDA-EDO,508250.0,2147190,-0.00363,2005,2014,4533,253,361,7665,10950,-313.425,15,29,Chicoloapan,15029,0
REDPDA-EDO,510932.9,2147315,-0.00001,2005,2014,4534,253,361,7665,10950,-0.874,15,29,Chicoloapan,15029,0
REDPDA-EDO,512992.3,2162856,-0.00133,2005,2014,4535,253,361,7665,10950,-115.068,15,28,Chiautla,15028,0
REDPDA-EDO,509781.3,2162777,-0.01142,2005,2014,4536,253,361,7665,10950,-986.301,15,30,Chiconcuac,15030,1
REDPDA-EDO,511233.3,2161287,-0.00666,2005,2014,4537,253,361,7665,10950,-575.342,15,30,Chiconcuac,15030,0
REDPDA-EDO,512209.6,2156844,-0.00685,2005,2014,4538,253,361,7665,10950,-591.781,15,99,Texcoco,15099,1
REDPDA-EDO,513953.7,2162992,-0.00671,2005,2014,4539,253,361,7665,10950,-579.452,15,69,Papalotla,15069,0
REDPDA-EDO,506465.3,2163449,-0.00634,2005,2014,4540,253,361,7665,10950,-547.945,15,11,Atenco,15011,0
REDPDA-EDO,511040.4,2162222,-0.01333,2005,2014,4541,253,361,7665,10950,-1151.562,15,30,Chiconcuac,15030,0
REDPDA-EDO,511915.5,2160839,-0.00723,2005,2014,4542,253,361,7665,10950,-624.658,15,28,Chiautla,15028,0
REDPDA-EDO,511622.9,2162683,-0.01674,2005,2014,4543,253,361,7665,10950,-1446.575,15,30,Chiconcuac,15030,0
REDPDA-EDO,506769.9,2143763,-0.01170,2005,2014,4544,253,361,7665,10950,-1010.959,15,31,Chimalhuac?ín,15031,0
REDPDA-EDO,507842.2,2146238,-0.00180,2005,2014,4545,253,361,7665,10950,-155.520,15,31,Chimalhuac?ín,15031,1
REDPDA-EDO,507813.0,2146268,-0.00925,2005,2014,4546,253,361,7665,10950,-798.904,15,31,Chimalhuac?ín,15031,1
REDPDA-EDO,507784.1,2145684,-0.00183,2005,2014,4547,253,361,7665,10950,-157.808,15,29,Chicoloapan,15029,1
REDPDA-EDO,507871.3,2146299,-0.00438,2005,2014,4548,253,361,7665,10950,-378.740,15,29,Chicoloapan,15029,1
REDPDA-EDO,507812.7,2147006,-0.00006,2005,2014,4549,253,361,7665,10950,-5.411,15,29,Chicoloapan,15029,0
REDPDA-EDO,503613.1,2147466,-0.00003,2005,2014,4550,253,361,7665,10950,-2.767,15,31,Chimalhuac?ín,15031,0
REDPDA-EDO,506354.3,2147681,-0.00038,2005,2014,4551,253,361,7665,10950,-32.877,15,31,Chimalhuac?ín,15031,1
REDPDA-EDO,507025.5,2146545,-0.00007,2005,2014,4552,253,361,7665,10950,-6.000,15,31,Chimalhuac?ín,15031,0
REDPDA-EDO,502563.7,2144115,-0.03100,2005,2014,4554,253,361,7665,10950,-2678.400,15,58,Nezahualc??yotl,15058,1
REDPDA-EDO,507404.8,2145930,-0.00016,2005,2014,4558,253,361,7665,10950,-13.699,15,31,Chimalhuac?ín,15031,1
REDPDA-EDO,507375.0,2147620,-0.00022,2005,2014,4559,253,361,7665,10950,-19.178,15,31,Chimalhuac?ín,15031,0
REDPDA-EDO,504983.7,2147681,-0.00162,2005,2014,4560,253,361,7665,10950,-139.726,15,31,Chimalhuac?ín,15031,0
REDPDA-EDO,507550.6,2146022,-0.00095,2005,2014,4561,253,361,7665,10950,-81.671,15,31,Chimalhuac?ín,15031,1
REDPDA-EDO,510760.0,2143934,-0.00723,2005,2014,4562,253,361,7665,10950,-624.658,15,31,Chimalhuac?ín,15031,0
REDPDA-EDO,507988.7,2144701,-0.00905,2005,2014,4563,253,361,7665,10950,-782.334,15,31,Chimalhuac?ín,15031,0
REDPDA-EDO,511780.5,2144518,-0.00571,2005,2014,4564,253,361,7665,10950,-493.151,15,29,Chicoloapan,15029,0
REDPDA-EDO,507317.1,2146483,-0.00018,2005,2014,4565,253,361,7665,10950,-15.786,15,31,Chimalhuac?ín,15031,0
REDPDA-EDO,506093.4,2143010,-0.00352,2005,2014,4566,253,361,7665,10950,-304.110,15,70,La Paz,15070,0
REDPDA-EDO,506413.1,2146360,-0.00036,2005,2014,4567,253,361,7665,10950,-31.252,15,31,Chimalhuac?ín,15031,0
REDPDA-EDO,506237.7,2147466,-0.00047,2005,2014,4568,253,361,7665,10950,-40.866,15,31,Chimalhuac?ín,15031,0
REDPDA-EDO,505975.8,2145714,-0.00047,2005,2014,4569,253,361,7665,10950,-40.767,15,31,Chimalhuac?ín,15031,0
REDPDA-EDO,507200.1,2147467,-0.00021,2005,2014,4570,253,361,7665,10950,-18.249,15,31,Chimalhuac?ín,15031,1
REDPDA-EDO,509709.5,2144763,-0.01579,2005,2014,4571,253,361,7665,10950,-1364.384,15,31,Chimalhuac?ín,15031,0
REDPDA-EDO,495101.9,2162987,-0.01166,2005,2014,4572,253,361,7665,10950,-1007.351,15,33,Ecatepec de Morelos,15033,0
